Name,Description,BranchType,DeliveryStatus,Circle,District,Division,Region,Block,State,Country,Pincode
Tiruchitambalam,,Sub Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Vanur,Tamil Nadu,India,605111
Anaiyeri,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Tindivanam,Tamil Nadu,India,605201
Ananthapuram,,Sub Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605201
Athiyur,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605201
Karai,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605201
Karuvakshi,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605201
Konalur,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605201
Panamalai,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605201
Ponnankuppam,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Gingee,Tamil Nadu,India,605201
V.Mathur,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Viluppuram,Tamil Nadu,India,605201
Anniyur,,Sub Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605202
Kalayampoondi,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605202
Melkaranai,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Viluppuram,Tamil Nadu,India,605202
Nangathur,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Viluppuram,Tamil Nadu,India,605202
Porur,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605202
Sangeethamangalam,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605202
Asokapuri,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Viluppuram,Tamil Nadu,India,605203
Brahmadesam,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605203
Kanjanur,,Sub Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605203
Kottayampoondi,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605203
Kundalapuliyur,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605203
Muttathur,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Viluppuram,Tamil Nadu,India,605203
Nemur,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Viluppuram,Tamil Nadu,India,605203
