Name,Description,BranchType,DeliveryStatus,Circle,District,Division,Region,Block,State,Country,Pincode
Mesolumi,,Branch Post Office,Delivery,North Eastern,Phek,Nagaland,North Eastern,Pfutsero,Nagaland,India,797107
Pfutsero,,Sub Post Office,Delivery,North Eastern,Phek,Nagaland,North Eastern,Phek,Nagaland,India,797107
Phesachuduma,,Branch Post Office,Delivery,North Eastern,Phek,Nagaland,North Eastern,Pfutsero,Nagaland,India,797107
Porba,,Branch Post Office,Delivery,North Eastern,Phek,Nagaland,North Eastern,Pfutsero,Nagaland,India,797107
Sakraba,,Branch Post Office,Delivery,North Eastern,Phek,Nagaland,North Eastern,Pfutsero,Nagaland,India,797107
Tekhouba,,Branch Post Office,Delivery,North Eastern,Phek,Nagaland,North Eastern,Pfutsero,Nagaland,India,797107
Thipuzumi,,Branch Post Office,Delivery,North Eastern,Phek,Nagaland,North Eastern,Pfutsero,Nagaland,India,797107
Zaketsa,,Branch Post Office,Delivery,North Eastern,Phek,Nagaland,North Eastern,Pfutsero,Nagaland,India,797107
Zavame,,Branch Post Office,Delivery,North Eastern,Phek,Nagaland,North Eastern,Phek,Nagaland,India,797107
Zhamai,,Branch Post Office,Delivery,North Eastern,Phek,Nagaland,North Eastern,Pfutsero,Nagaland,India,797107
Ketsapo,,Branch Post Office,Delivery,North Eastern,Phek,Nagaland,North Eastern,Phek,Nagaland,India,797108
Khuzami,,Branch Post Office,Delivery,North Eastern,Phek,Nagaland,North Eastern,Phek Sadar,Nagaland,India,797108
Losami,,Branch Post Office,Delivery,North Eastern,Phek,Nagaland,North Eastern,Phek,Nagaland,India,797108
Luzaphuhu,,Branch Post Office,Delivery,North Eastern,Phek,Nagaland,North Eastern,Phek Sadar,Nagaland,India,797108
Old Phek,,Branch Post Office,Delivery,North Eastern,Phek,Nagaland,North Eastern,Phek,Nagaland,India,797108
Phek,,Sub Post Office,Delivery,North Eastern,Phek,Nagaland,North Eastern,Phek,Nagaland,India,797108
Asukika,,Branch Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Tseminyu,Nagaland,India,797109
Chatashi,,Branch Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Tseminyu,Nagaland,India,797109
Ghathashi,,Branch Post Office,Delivery,North Eastern,Zunhebotto,Nagaland,North Eastern,Ghathashi,Nagaland,India,797109
Kontsunyu,,Branch Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Tseminyu,Nagaland,India,797109
Lazami,,Branch Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Tseminyu,Nagaland,India,797109
Nisenyu,,Branch Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Tseminyu,Nagaland,India,797109
Nyishunyu,,Branch Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Tseminyu,Nagaland,India,797109
Phenshunyu,,Branch Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Tseminyu,Nagaland,India,797109
Phenwhenyu,,Branch Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Tseminyu,Nagaland,India,797109
Pughoboto,,Branch Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Kohima,Nagaland,India,797109
Sendenyu,,Branch Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Tseminyu,Nagaland,India,797109
Tesophenyu,,Branch Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Tseminyu,Nagaland,India,797109
Tseminyu,,Sub Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Kohima,Nagaland,India,797109
Tseminyu Old Town,,Branch Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Tseminyu,Nagaland,India,797109
Tsosesunyu,,Branch Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Tseminyu,Nagaland,India,797109
Zephenyu,,Branch Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Tseminyu,Nagaland,India,797109
Athibung,,Branch Post Office,Delivery,North Eastern,Peren,Nagaland,North Eastern,Zalukie,Nagaland,India,797110
Bongkholong,,Branch Post Office,Delivery,North Eastern,Peren,Nagaland,North Eastern,Zalukie,Nagaland,India,797110
Gaili,,Branch Post Office,Delivery,North Eastern,Peren,Nagaland,North Eastern,Zalukie,Nagaland,India,797110
