,Name,Description,BranchType,DeliveryStatus,Circle,District,Division,Region,Block,State,Country,Pincode
80,Tiplai,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Rangjuli,Assam,India,783130
81,Barkona,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Mankachar,Assam,India,783131
82,Jhowdanga,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Mankachar,Assam,India,783131
83,Kakripara,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Mankachar,Assam,India,783131
84,Mankachar,,Sub Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Mankachar,Assam,India,783131
85,Radhamadhabhat,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Mankachar,Assam,India,783131
86,Dharai,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Lakhipur,Assam,India,783132
87,Gaurnagar,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Lakhipur,Assam,India,783132
88,Jaleswar,,Sub Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Lakhipur,Assam,India,783132
89,Katarihara,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Lakhipur,Assam,India,783132
90,Tulsibari,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Lakhipur,Assam,India,783132
91,Rajapara,,Sub Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Matia,Assam,India,783133
92,Darragiri,,Sub Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Dudnai,Assam,India,783134
93,Kachadal,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Dudhnoi,Assam,India,783134
94,Kharkutta,,Branch Post Office,Delivery,North Eastern,East Garo Hills,Meghalaya,Shillong HQ,Dudnai,Meghalaya,India,783134
95,Melopara,,Branch Post Office,Delivery,Assam,Bongaigaon,Goalpara,Guwahati HQ,Dudhnoi,Assam,India,783134
96,Rajasimla,,Branch Post Office,Delivery,North Eastern,Goalpara,Meghalaya,Shillong HQ,Dudnai,Assam,India,783134
97,Sesapani,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Dudhnoi,Assam,India,783134
98,Dhanuagaon,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Fekamari,Assam,India,783135
99,Fekamari,,Sub Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Fekamari,Assam,India,783135
100,Fulerchar,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Fekamari,Assam,India,783135
101,Hatsingimari,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Fekamari,Assam,India,783135
102,Kalapani,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Fekamari,Assam,India,783135
103,Kanaimara,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Fekamari,Assam,India,783135
104,Manullapara,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Fekamari,Assam,India,783135
105,Purandiara,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Mankachar,Assam,India,783135
106,Dhubri,,Head Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Dhubri,Assam,India,783301
107,Dhubri Bazar,,Sub Post Office,Non-Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Dhubri,Assam,India,783301
108,Aironjongla,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Dhubri,Assam,India,783323
109,Amco Road,,Sub Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Dhubri,Assam,India,783323
110,Dhubri Balurchar,,Branch Post Office,Non-Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Dhubri,Assam,India,783323
111,Muthakhowa,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Dhubri,Assam,India,783323
112,Bidyapara,,Sub Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Dhubri,Assam,India,783324
113,Chagalchara,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Dhubri,Assam,India,783324
114,Dharmasala,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Dhubri,Assam,India,783324
115,Howrarpar,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Dhubri,Assam,India,783324
116,Patamari,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Dhubri,Assam,India,783324
117,Tistarpar,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Dhubri,Assam,India,783324
118,Falimari  Pt-i,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Dhubri,Assam,India,783325
119,Jhagrarpar,,Sub Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,NA,Assam,India,783325
120,Khalilpur,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Dhubri,Assam,India,783325
121,Majerchar,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Dhubri,Assam,India,783325
