Name,Description,BranchType,DeliveryStatus,Circle,District,Division,Region,Block,State,Country,Pincode
Palank,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Brahmagiri,Odisha,India,752011
Palli,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Brahmagiri,Odisha,India,752011
Panaspada,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Brahmagiri,Odisha,India,752011
Parikud Gdsso,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Krushnaprasad,Odisha,India,752011
Rebena Nuagaon,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Brahmagiri,Odisha,India,752011
Satapada,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Brahmagiri,Odisha,India,752011
Alasana,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752012
Bijayaramachandrapur,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752012
Birabalabhadrapur,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752012
Biranarasinghpur,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752012
Birapratappur,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752012
Chandanpur,,Sub Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752012
Ganganarayanpur,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752012
Garhmrugasira,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752012
Kanheibidyadharpur,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752012
Pratappurusottampur,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752012
Rua,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752012
Siruli,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752012
Tadasaramahansapur,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752012
Basudevpur (Puri),,Sub Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752013
Ghanapana,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752013
Hantuka,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752013
Kapileswarpur,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752013
Kerandipur,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752013
Rahadamalla,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752013
Alagum,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Satyabadi,Odisha,India,752014
Balipada,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752014
Biragobindapur,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752014
Biraramachandrapur,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752014
Biswanathpur,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752014
Brahmanapada,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752014
Dahan,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752014
Mula Alasa,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Satyabadi,Odisha,India,752014
Nua Someswarpur,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Satyabadi,Odisha,India,752014
Ola,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752014
Raichakradharpur,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Satyabadi,Odisha,India,752014
Sakhigopal,,Sub Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Satyabai,Odisha,India,752014
Sandarahat,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Satyabadi,Odisha,India,752014
Sarangajodi,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Satyabadi,Odisha,India,752014
Sriramachandrapur,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752014
Sukal,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Satyabadi,Odisha,India,752014
Delang,,Sub Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752015
Ghoradia,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752015
Jorakani,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752015
Kalyanpur,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752015
Motari,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752015
Muninda,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752015
Sadangoi,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752015
Singhbrahmapur,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752015
Trilochanpur,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752015
Abhayamukhi Ramachandrapur,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752016
Arisala,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752016
Badagualipada,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752016
Berboi,,Sub Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752016
Bhimpur,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752016
Bilaspur,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752016
Hakapada,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752016
Indipurdeuli,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752016
Jenapur,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752016
Khellore,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752016
Nalibasanta,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752016
Praharajpur,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752016
Sirpurusottampur,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752016
Alibada,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752017
Badas,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752017
Basantapur,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752017
Gadisagoda,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752017
Garhbadaput,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752017
Garhbalabhadrapur,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752017
Garhmatiapada,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752017
Garhsahi,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752017
Jagannathpur,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752017
Kalapadar,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752017
Kanas,,Sub Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752017
Khandahata,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752017
Nandigoda,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752017
Santidham,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752017
Sirei,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752017
Tipuri,,Branch Post Office,Delivery,Odisha,Puri,Puri,Bhubaneswar HQ,Puri,Odisha,India,752017
Brajamohanpur,,Branch Post Office,Delivery,Odisha,Khorda,Puri,Bhubaneswar HQ,Khurda,Odisha,India,752018
Hadapada,,Branch Post Office,Delivery,Odisha,Khorda,Puri,Bhubaneswar HQ,Khurda,Odisha,India,752018
Malipada,,Branch Post Office,Delivery,Odisha,Khorda,Puri,Bhubaneswar HQ,Khurda,Odisha,India,752018
Narangarh,,Sub Post Office,Delivery,Odisha,Khorda,Puri,Bhubaneswar HQ,Khurda,Odisha,India,752018
Nijigarhtapang,,Branch Post Office,Delivery,Odisha,Khorda,Puri,Bhubaneswar HQ,Khurda,Odisha,India,752018
Ramchandi,,Branch Post Office,Delivery,Odisha,Khorda,Puri,Bhubaneswar HQ,Khurda,Odisha,India,752018
Baku,,Branch Post Office,Delivery,Odisha,Khorda,Puri,Bhubaneswar HQ,Banpur,Odisha,India,752019
