Topsherkhania,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,181121
Baran,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,181122
Bhalwal,,Sub Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,NA,Jammu & Kashmir,India,181122
Gharota,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,181122
Jandial,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,181122
Kot,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,181122
Rabta,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,181122
Ranjan,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,181122
Sarote,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,181122
Seri Panditan,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,181122
Bantalab,,Sub Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,181123
Raipur,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,181123
Bsf Camp Paloura,,Sub Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,181124
Adlehar,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,181131
Allah,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,181131
Arnia,,Sub Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,181131
Kalyana,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,181131
Kool Kalan,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Bishna,Jammu & Kashmir,India,181131
